,Date,Stocks
0,2019-06-25,DCM|QCG|HBC|MSN|DPM|CTD|DGW|PNJ|TTB|NVL|MST|ASM|OIL|IDI|VHM
0,2019-06-26,DCM|GEX|QCG|HBC|DPM|VND|DGW|PNJ|TTB|ASM|OIL|IDI|VHM
0,2019-06-27,DCM|GEX|QCG|HBC|DPM|LDG|DRC|TCB|DGW|PNJ|TTB|VRE|OIL|VHM
0,2019-06-28,SCR|QCG|TPB|HBC|DPM|LDG|TTB|OIL
0,2019-07-01,CII|SCR|QCG|TPB|HBC|POW|DPM|SHS|LDG|TTB|OIL
0,2019-07-02,CII|JVC|SCR|QCG|TPB|HBC|POW|DPM|SHS|HHS|LDG|ROS|TNI|TTB|OIL
0,2019-07-03,CII|JVC|SCR|QCG|TPB|HBC|POW|DPM|SHS|HHS|LDG|ROS|TNI|TTB|OIL|HUT
0,2019-07-04,FLC|CII|JVC|CEO|SCR|QCG|HBC|POW|DPM|SHS|HHS|LDG|ROS|GTN|TNI|TTB|TDH|OIL|HAR|HUT
0,2019-07-05,FLC|CII|JVC|CEO|SCR|QCG|HBC|POW|DPM|LDG|ROS|GTN|TTB|TDH|OIL|HAR|HUT
0,2019-07-08,FLC|CII|CEO|SCR|QCG|POW|DPM|ROS|SHB|DIG|TTB|TDH|OIL|HAR|NLG
0,2019-07-09,CII|CEO|SCR|VGI|QCG|ROS|SHB|TDH|OIL
0,2019-07-10,CII|CEO|SCR|QCG|ROS|SHB|TDH|OIL
0,2019-07-11,CEO|SCR|QCG|BSR|ROS|HPG|TDH|OIL
0,2019-07-12,CEO|SCR|QCG|BSR|ROS|VND|HPG|HDB|TDH|OIL
0,2019-07-15,CEO|SCR|BSR|ROS|VND|HPG|HDB|TDH
0,2019-07-16,SCR|BSR|ROS|VND|HPG|HDB|DRH|TDH|EIB|APG
0,2019-07-17,SCR|BSR|ROS|HPG|DRH|TDH|EIB|APG
0,2019-07-18,SCR|BSR|ROS|HPG|FRT|DRH|EIB|APG
0,2019-07-19,SCR|SBT|BSR|ROS|HPG|TTF|DRH|KSB|EIB|APG
0,2019-07-22,SCR|SBT|BSR|ROS|HPG|TTF|TCM|DRH|EIB
0,2019-07-23,SCR|MSN|SBT|BSR|ROS|TTF|TCM|DRH|ASM|EIB
0,2019-07-24,SCR|MSN|SBT|BSR|ROS|TTF|TCM|DRH|ASM|HAR|EIB
0,2019-07-25,FCN|SCR|HBC|SBT|POW|BSR|ROS|TTF|TCM|DRH|ASM|HAR|EIB|HAG
0,2019-07-26,FCN|HBC|SBT|POW|DPM|BSR|ROS|SJF|TTF|TCM|FIT|DRH|ASM|HCM|HAR|EIB|HAG
0,2019-07-29,FCN|HBC|SBT|POW|DPM|BSR|SJF|TTF|TCM|NKG|DRH|NVL|ASM|HCM|HAR|EIB|HAG
0,2019-07-30,FCN|REE|HBC|SBT|POW|DPM|BSR|SJF|TTF|TCM|NKG|DRH|ASM|HCM|HAR|HAG
0,2019-07-31,FCN|REE|HBC|SBT|DPM|BSR|PVS|SJF|TTF|TCM|NKG|DRH|ASM|HCM|HAR|HAG
0,2019-08-01,FLC|FCN|HBC|VPB|DPM|HHS|BSR|PVD|PVS|VND|TNG|SJF|TTF|TCM|TDH|MST|ASM|IDI|HCM|HAR|HAG
0,2019-08-02,FLC|FCN|HBC|VPB|DPM|SHS|HHS|BSR|PVD|PVS|VND|TNG|SJF|TTF|TDH|MST|ASM|OIL|IDI|HCM|HAR|HAG
